Sentence #,Word,Tag
Sentence 1,Fig. 5 ,O
Sentence 2,Fig. 26 ,O
Sentence 3,Fig. 27 ,O
Sentence 4,Fig. 22 ,O
Sentence 5,Fig. 6 ,O
Sentence 6,Fig. 30 ,O
Sentence 7,Fig. 24 ,O
Sentence 8,Fig. 35 ,O
Sentence 9,Fig. 12 ,O
Sentence 10,Fig. 16 ,O
Sentence 11,Fig. 36 ,O
Sentence 12,Fig. 37 ,O
Sentence 13,Fig. 43 ,O
Sentence 14,Fig. 19 ,O
Sentence 15,Fig. 29 ,O
Sentence 16,Fig. 15 ,O
Sentence 17,Fig. 8 ,O
Sentence 18,Fig. 7 ,O
Sentence 19,Fig. 2 ,O
Sentence 20,Fig. 3 ,O
Sentence 21,Fig. 39 ,O
Sentence 22,Fig. 38 ,O
Sentence 23,Fig. 18 ,O
Sentence 24,Fig. 33 ,O
Sentence 25,Fig. 14 ,O
Sentence 26,Fig. 13 ,O
Sentence 27,Fig. 28 ,O
Sentence 28,Fig. 25 ,O
Sentence 29,Fig. 41 ,O
Sentence 30,Fig. 40 ,O
Sentence 31,Fig. 42 ,O
,CU 300,control unit
,communicating,O
,with,O
,Grundfos,O
,GO,O
Sentence 32,Fig. 31 ,O
Sentence 33,Fig. 32 ,O
Sentence 34,Fig. 20 ,O
Sentence 35,Fig. 4 ,O
Sentence 36,Fig. 17 ,O
Sentence 37,Fig. 27 ,O
,Start-up,O
,of,O
,"DMH 254,",dc drives
,and,O
Sentence 38,Fig. 62 ,O
,DMH 11-25,dc drives
,(60,O
,"Hz),",O
,Q0,O
,=,O
,bar,O
Sentence 39,Fig. 60 ,O
,DMH 4.5-25,dc drives
,(60,O
,"Hz),",O
,Q0,O
,=,O
,bar,O
Sentence 40,Fig. 61 ,O
,DMH 11-25,dc drives
,(50,O
,"Hz),",O
,Q0,O
,=,O
,bar,O
Sentence 41,Fig. 7 ,O
,Contact,O
,pressure,O
,gauge,O
Sentence 42,Fig. 13 ,O
,Tank,O
,installation,O
Sentence 43,Fig. 117DMH ,dc drives
,550-10,O
,(50,O
,"Hz),",O
,Q0,O
,=,O
,bar,O
,TM,O
Sentence 44,Fig. 38 ,O
